S.No.,Basin Name,Station Index,Station Name,District,1hr,3hr,6hr,12hr,24hr,Status
166,Kankai,142101,"Kankai, Mainachuli",Ilam,0,0,0,0,0,BELOW WARNING LEVEL
167,Mechi,1416,Kanyam Tea Estate,Ilam,0,0,0,0,0,BELOW WARNING LEVEL
168,Mechi,1416,Kanyam Tea State,Illam,0,0,0,0,0,BELOW WARNING LEVEL
169,Bagmati,107101,Kapan,Kathmandu,0,0,0,0,0,BELOW WARNING LEVEL
170,Narayani,1007,Kakani,Nuwakot,0,0,0,0,0,BELOW WARNING LEVEL
171,Narayani,613,Karkineta,Parbat,0,0,0,0,0,BELOW WARNING LEVEL
172,Karnali,240,Karnali at Asaraghat,Achham,0,0,0,0,0,BELOW WARNING LEVEL
173,Narayani,415.1,Aadhi Khola at Borlangpul (Rainfall),Syangja,0,0,0,0,0,BELOW WARNING LEVEL
174,Karnali,425,Katti,Dailekh,0,0,0,0,0,BELOW WARNING LEVEL
175,Mechi,1422,Kechana,Jhapa,0,0,0,0,0,BELOW WARNING LEVEL
176,Keshaliya,132601,Kerabari,Morang,0,0,0,0,0,BELOW WARNING LEVEL
177,Koshi,1327,Khadbari,Sankhuwasabha,0,0,0,0,0,BELOW WARNING LEVEL
178,Bagmati,1121,Karmaiya,Sarlahi,0,0,0,0,0,BELOW WARNING LEVEL
179,West Rapti,409,Khajura (Nepalganj),Banke,0,0,0,0,0,BELOW WARNING LEVEL
180,Karnali,399,Jumla Airport,Jumla,0,0,0,0,0,BELOW WARNING LEVEL
181,Narayani,601,Jomsom,Mustang,0,0,0,0,0,BELOW WARNING LEVEL
182,Mahakali,119,Hanman Nagar (Bhamka),Kanchanpur,0,0,0,0,0,BELOW WARNING LEVEL
183,West Rapti,534,Hanspur,Pyuthan,0,0,0,0,0,BELOW WARNING LEVEL
184,Lalbakaiya,910021,Hattisude,Makwanpur,0,0,0,0,0,BELOW WARNING LEVEL
185,Narayani,906,Hetauda N.F.I.,Makwanpur,0,0,0,0,0,BELOW WARNING LEVEL
186,Narayani,87101,Humde Airport,Manang,0,0,0,0,0,BELOW WARNING LEVEL
187,Karnali,,Hurikot_Snow,Dolpa,0,0,0,0,0,BELOW WARNING LEVEL
188,Narayani,60101,Jomsom Airport,Mustang,0,0,0,0,0,BELOW WARNING LEVEL
189,Kankai,1407,Ilam Tea Estate,Ilam,0,0,0,0,0,BELOW WARNING LEVEL
190,Narayani,801,Jagat (Setibas),Gorkha,0,0,0,0,0,BELOW WARNING LEVEL
191,Karnali,404,Jajarkot_AWS,Jajarkot,0,0,0,0,0,BELOW WARNING LEVEL
192,Narayani,739,Jalpa,Palpa,0,0,0,0,0,BELOW WARNING LEVEL
193,Karnali,403,Jamu (Tikuwa Kuna),Surkhet,0,0,0,0,0.2,BELOW WARNING LEVEL
194,Rato,1111,Janakpur Airport,Dhanusha,0,0,0,0,0,BELOW WARNING LEVEL
195,Koshi,1103,Jiri,Dolakha,0,0,0,0,0,BELOW WARNING LEVEL
196,Kankai,1407,Ilam Tea State_AWS,Ilam,0,0,0,0,0,BELOW WARNING LEVEL
197,Bagmati,104301,Nagarkot_AWS,Bhaktapur,0,0,0,0,0,BELOW WARNING LEVEL
198,Narayani,715,Khanchikot,Arghakhachi,,0,0,0,0,BELOW WARNING LEVEL
199,Narayani,802,Khudi Bazar,Lamjung,0,0,0,0,0,BELOW WARNING LEVEL
200,Lalbakaiya,90901,Maheshpur,Rautahat,0,0,0,0,0,BELOW WARNING LEVEL
201,Narayani,919,Makwanpur Gadhi,Makwanpur,0,0,0,0,0,BELOW WARNING LEVEL
202,Lokhandeni,1120,Malangwa,Sarlahi,0,0,0.2,0.2,0.2,BELOW WARNING LEVEL
203,Narayani,861,Malunga,Syangja,0,0,0,0.2,0.2,BELOW WARNING LEVEL
204,Koshi,1020,Mandan,Kavrepalanchok,0,0,0,0,0,BELOW WARNING LEVEL
205,Koshi,,Manekharka,Sindhupalchok,0,0,0,0,1.8,BELOW WARNING LEVEL
206,Karnali,21701,Mangalsen_AWS,Achham,0,0,0,0,0,BELOW WARNING LEVEL
207,Koshi,1322,Machhuwaghat,Dhankuta,0,0,0,0,0,BELOW WARNING LEVEL
208,Karnali,329,Manma_AWS,Kalikot,0,0,0,0,0,BELOW WARNING LEVEL
209,Lokhandeni,1118,Manusmara,Sarlahi,0,0,0,0,0,BELOW WARNING LEVEL
210,Narayani,915,Markhu Gaun,Makawanpur,0,0,0,0,0,BELOW WARNING LEVEL
211,Narayani,628,Muna,Myagdi,0,0,0,0,0,BELOW WARNING LEVEL
212,Koshi,121302,Murkuchi Bazar,Udayapur,0,0,0,0,0,BELOW WARNING LEVEL
213,Basin From Siwalik Zone,910041,Mudali Parsa,Parsa,0,0,0,0,0,BELOW WARNING LEVEL
214,Koshi,1308,MulGhat,Dhankuta,0,0,0,0,0.4,BELOW WARNING LEVEL
215,Koshi,112301,Manthali Airport,Ramechhap,0,0,0,0,0,BELOW WARNING LEVEL
216,Koshi,1211,Khotang Bazar,Khotang,0,0,0,0,0.6,BELOW WARNING LEVEL
217,Narayani,,MachhapuchhreBaseCamp_Snow,Kaski,0,0,0,0,0,BELOW WARNING LEVEL
218,Tinau,729,Lumbini,Rupandehi,0,0,0,0.2,0.2,BELOW WARNING LEVEL
219,Bagmati,1029,Khumaltar,Lalitpur,0,0,0,0,0,BELOW WARNING LEVEL
220,Bagmati,1021,Kirtipur,Kathmandu,0,0,0,0,0,BELOW WARNING LEVEL
221,Lalbakaiya,923,Kolbhi,Bara,0,0,0,0,0,BELOW WARNING LEVEL
222,Narayani,807,Kunchha,Lamjung,0,0,0,0,0,BELOW WARNING LEVEL
223,Narayani,,Kyangjing_Snow,,0,0,0,0,0,BELOW WARNING LEVEL
224,Balan-Khado,1215,Lahan,Siraha,0,0,0,0,0,BELOW WARNING LEVEL
225,Narayani,814,Lumle,Kaski,0,0,0,0,0,BELOW WARNING LEVEL
226,West Rapti,538,Lalmatiya,Dang,0,0,0,0,0,BELOW WARNING LEVEL
227,Narayani,80403,Lamapatan,Kaski,0,0,0,0,0,BELOW WARNING LEVEL
228,Koshi,1305,Leguwa Ghat,Dhankuta,0,0,0,0,0,BELOW WARNING LEVEL
229,West Rapti,504,Liwang,Rolpa,0,0,0,0,0,BELOW WARNING LEVEL
230,Karnali,241,Lohare Khola at Tallo Dungeshwor,Dailekh,0,0,0,0,0,BELOW WARNING LEVEL
231,Koshi,120201,Lukla Airport,Solukhumbhu,0,0,0,0,0,BELOW WARNING LEVEL
232,Narayani,80401,Pokhara_AWOS_04,Kaski,0,0,0,0,0,BELOW WARNING LEVEL
233,Koshi,110102,Lamabagar,Dolakha,0,0,0,0,0,BELOW WARNING LEVEL
234,West Rapti,,Arghakhanchi,Arghakhanchi,0,0,0,0,0,BELOW WARNING LEVEL
